Timestamp,ご年齢,エントリーした会社数,最終学歴,就活した時期,勉強時間,内定数
2/4/2022 17:15:22,27,41~60社,東京大学大学院農学生命科学研究科 卒業,2022,701~900時間,1
2/4/2022 20:32:06,27,1~10社,神戸大学経営学部 卒業,2022,901~1100時間,0
2/4/2022 20:50:14,32,11~20社,法律系専門学校,2022,1101時間以上,0
2/4/2022 20:52:53,28,1~10社,法政大学社会学部卒業,2021,901~1100時間,1
2/4/2022 21:53:37,25,1~10社,大原簿記学校,2018,101~300時間,2
2/5/2022 1:13:32,23,11~20社,大学中退,2022,901~1100時間,1
2/5/2022 1:45:23,30,1~10社,高校卒,2018,101~300時間,2
2/5/2022 4:53:46,25,21~40社,日本大学理工学部　卒業,2020,701~900時間,3
2/5/2022 9:51:53,24,11~20社,高卒,2020,101~300時間,1
2/5/2022 10:20:05,28,1~10社,UK国立大学　CS大学院,2021,901~1100時間,1
2/5/2022 11:57:08,26,1~10社,摂南大学経営学部経営情報学科　卒業,2021,901~1100時間,1
2/5/2022 12:04:28,30,11~20社,在京経済4大卒,2021,301~500時間,0
2/5/2022 13:31:21,21,1~10社,高卒,2022,30~100時間,0
2/5/2022 20:48:17,36,11~20社,音楽系専門学校 卒業,2022,101~300時間,1
2/5/2022 23:24:15,23,1~10社,高校卒,2022,1101時間以上,1
2/6/2022 0:08:26,30,1~10社,拓殖大学外国語学部　卒業,2021,30~100時間,1
2/6/2022 2:12:11,21,1~10社,獨協大学,2022,30~100時間,0
2/6/2022 7:32:19,25,21~40社,愛知大学文学部　卒業,2021,701~900時間,1
