Timestamp,Country,Current online courses,Preffered online courses,Enjoy online,Motivated online,Satisfied online,Engaging online,Distracted online,Actions online,Enjoy offline,Motivated offline,Satisfied offline,Engaging offline,Distracted offline,Actions online,Preferred course
5/21/2020 18:27:12,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,3,4,4,3,4,4,4,4,4,3,4,In-person Courses
5/21/2020 18:27:14,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",5,4,5,5,5,5,5,4,5,5,4,2,In-person Courses
5/21/2020 18:27:27,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Discussion forums/chats,3,3,3,2,3,4,4,4,3,4,2,2,In-person Courses
5/21/2020 18:37:41,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,4,3,4,3,4,4,3,3,3,4,In-person Courses
5/21/2020 18:37:49,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,3,5,3,5,5,5,5,5,4,4,5,In-person Courses
5/21/2020 18:43:00,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",1,2,2,2,4,4,5,4,4,5,2,3,Online Courses
5/21/2020 18:45:03,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,4,4,4,4,2,4,4,4,4,3,5,In-person Courses
5/21/2020 18:48:15,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,2,4,5,4,4,4,4,4,3,4,In-person Courses
5/21/2020 18:52:16,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,3,4,3,4,3,4,4,4,4,4,3,Online Courses
5/21/2020 18:55:53,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,2,2,4,4,2,5,5,5,5,2,4,In-person Courses
5/21/2020 18:56:39,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,2,4,5,3,5,3,4,3,2,3,In-person Courses
5/21/2020 18:57:21,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,4,4,4,4,4,4,4,4,4,4,5,In-person Courses
5/21/2020 19:00:51,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,3,2,2,2,5,2,4,4,4,4,2,4,In-person Courses
5/21/2020 19:03:27,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Discussion forums/chats,1,1,1,1,5,2,4,4,4,4,2,4,In-person Courses
5/21/2020 19:04:22,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,5,5,5,5,2,3,3,3,5,4,4,2,Online Courses
5/21/2020 19:09:52,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Discussion forums/chats,2,2,2,4,4,4,4,4,4,4,2,4,In-person Courses
5/21/2020 19:23:00,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,4,3,3,5,4,5,4,5,4,2,4,In-person Courses
5/21/2020 19:23:14,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,3,5,3,4,1,5,5,4,4,1,4,In-person Courses
5/21/2020 19:24:27,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,1,2,4,5,2,5,4,4,5,2,4,In-person Courses
5/21/2020 19:26:28,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,4,4,5,5,4,5,5,5,5,3,4,In-person Courses
5/21/2020 19:35:04,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,3,3,2,4,4,4,5,4,4,4,2,5,In-person Courses
5/21/2020 19:38:10,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,4,2,4,5,2,5,5,5,5,2,4,In-person Courses
5/21/2020 19:42:27,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,3,4,3,3,5,4,4,4,4,3,4,In-person Courses
5/21/2020 19:45:50,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,3,4,4,2,4,4,4,4,4,2,In-person Courses
5/21/2020 19:51:21,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,3,3,4,4,4,2,5,4,4,4,2,3,In-person Courses
5/21/2020 19:55:23,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,4,4,4,4,4,4,5,4,5,2,4,In-person Courses
5/21/2020 20:11:40,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,3,4,4,4,4,5,4,4,4,4,5,In-person Courses
5/21/2020 20:19:49,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,4,4,5,4,5,5,5,5,4,5,In-person Courses
5/21/2020 20:22:42,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,3,2,3,4,2,4,4,3,4,2,4,In-person Courses
5/21/2020 20:26:56,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,4,3,4,4,4,4,5,5,5,2,5,In-person Courses
5/21/2020 20:30:33,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",1,1,3,2,5,4,4,4,4,4,2,3,In-person Courses
5/21/2020 20:35:31,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,3,3,4,4,5,5,5,4,4,2,3,In-person Courses
5/21/2020 20:37:36,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,4,4,4,2,5,4,4,4,2,2,In-person Courses
5/21/2020 20:38:35,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,3,4,3,4,4,5,5,4,5,2,4,In-person Courses
5/21/2020 21:00:06,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",1,2,3,3,4,4,5,4,4,4,3,3,In-person Courses
5/21/2020 21:07:27,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,1,3,2,5,4,4,5,4,4,3,4,In-person Courses
5/21/2020 21:14:56,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,2,5,4,4,1,4,4,4,4,2,3,In-person Courses
5/21/2020 21:19:17,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",1,1,1,1,5,4,5,4,4,4,2,2,In-person Courses
5/21/2020 21:22:22,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,2,2,4,4,4,4,4,4,3,4,Online Courses
5/21/2020 21:31:26,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,3,2,3,3,1,4,4,4,5,3,4,In-person Courses
5/21/2020 21:36:09,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,4,3,3,3,4,5,4,4,4,2,4,In-person Courses
5/21/2020 22:03:06,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",5,4,5,5,4,3,4,4,4,4,3,4,Online Courses
5/21/2020 22:06:34,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,3,3,1,2,1,1,1,1,3,3,In-person Courses
5/21/2020 22:15:23,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,2,2,3,4,4,5,4,3,2,4,In-person Courses
5/21/2020 22:19:27,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,4,4,4,5,5,5,5,5,2,4,In-person Courses
5/21/2020 22:39:12,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,3,3,2,5,1,4,4,4,3,2,3,In-person Courses
5/21/2020 22:42:52,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Uploaded or emailed Materials,1,2,2,2,5,4,4,5,5,5,2,5,In-person Courses
5/21/2020 23:07:35,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,4,3,3,4,2,5,4,4,4,3,4,In-person Courses
5/21/2020 23:16:18,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,5,4,4,4,5,4,5,5,3,4,In-person Courses
5/21/2020 23:16:53,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,4,4,4,2,5,5,4,4,4,2,5,In-person Courses
5/21/2020 23:26:17,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,2,3,2,5,2,5,4,4,4,2,3,In-person Courses
5/21/2020 23:29:16,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,4,4,2,4,4,5,4,4,4,2,5,In-person Courses
5/21/2020 23:34:18,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,5,3,4,2,2,4,5,3,3,4,4,Online Courses
5/21/2020 23:55:43,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,3,3,4,2,4,4,4,4,2,3,In-person Courses
5/22/2020 0:29:28,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,3,4,2,5,5,5,5,4,4,4,3,In-person Courses
5/22/2020 0:34:36,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,4,4,5,2,4,4,4,4,3,3,In-person Courses
5/22/2020 0:41:14,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",1,2,3,3,4,4,5,5,5,5,2,5,In-person Courses
5/22/2020 0:57:51,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,3,3,4,4,4,5,5,4,5,1,5,In-person Courses
5/22/2020 1:23:54,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,3,2,2,4,5,4,4,4,4,3,4,In-person Courses
5/22/2020 1:43:56,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,3,5,4,5,5,4,3,2,3,5,1,Online Courses
5/22/2020 1:45:23,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,4,4,5,4,5,5,5,5,5,2,4,In-person Courses
5/22/2020 1:49:27,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,3,3,4,5,4,5,4,4,4,2,5,In-person Courses
5/22/2020 2:42:02,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",5,5,5,4,1,5,5,5,5,5,1,3,In-person Courses
5/22/2020 3:26:43,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",5,5,4,5,2,4,4,4,5,5,3,4,Online Courses
5/22/2020 3:29:32,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,5,4,4,2,5,4,5,5,1,2,In-person Courses
5/22/2020 3:50:26,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,2,3,4,3,4,4,4,4,2,3,In-person Courses
5/22/2020 5:33:55,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,3,2,2,4,3,4,5,4,4,3,4,Online Courses
5/22/2020 6:03:46,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,5,4,5,3,5,5,5,5,5,4,2,Online Courses
5/22/2020 7:00:20,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,5,4,3,3,5,4,4,3,5,5,3,2,Online Courses
5/22/2020 7:39:47,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,3,2,3,3,2,4,4,4,4,2,3,In-person Courses
5/22/2020 8:40:08,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,4,2,3,4,5,4,4,3,4,2,5,In-person Courses
5/22/2020 10:04:50,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,4,3,5,4,5,5,5,5,1,4,In-person Courses
5/22/2020 10:24:03,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,4,4,3,2,4,3,4,3,3,2,3,Online Courses
5/22/2020 12:51:03,Australia,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,2,3,4,5,5,4,4,4,1,3,In-person Courses
5/22/2020 14:09:55,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,5,3,5,2,5,5,5,5,5,1,4,In-person Courses
